name,formula,mu_kg/mol,rho_kg/m3,Ea_hydro,B_hydro,k_photo,yield_lo,yield_hi,quan_eff,yield_umg,yield_um,Ea_chem,B_chem
Adenine,C5H5N5,0.13513,1470,5902,8.15,0,0.005,0.18,1.00E-04,0,0,0,0
HCN,HCN,0.0270253,687,5902,8.15,0,1,1,1.00E-04,0,0,0,0
H2CO,H2CO,0.030031,815,5902,8.15,0,0,0,1.00E-04,0,0,0,0
Urea,NH2CONH2,0.06006,1335,9640,12.1,0.2362,0.05,0.16,0.54,0,0,9000,20.83
Malonic Acid,C3H4O4,0.104061,1619,0,0,0,0,0,0.00E+00,0,0,0,0
Isocyanic acid,HNCO,0.04303,1140,0,0,0,0,0,0.00E+00,0,0,0,0
Ammonia,NH3,0.017031,0.73,0,0,0,0,0,0.00E+00,0,0,0,0
Barbituric Acid,C4H4N2O3,0.12809,0,0,0,0,0,0,0.00E+00,0.08,0.45,0,0
2-Aminoisocytosine,C4H6N4O,0.12612,0,0,0,0,0,0,0.00E+00,0.04,0,0,0
"2-Aminopyrimidine-4,6(1H,5H)-dione",C4H5N3O2,0.1271,0,0,0,0,0,0,0.00E+00,0.55,0.03,0,0
"2,4-Diamino-6-hydroxypyrimidine",C4H6N4O,0.12612,0,0,0,0,0,0,0.00E+00,0.015,0,0,0
"2,4,6-Triaminopyrimidine",C4H7N5,0.12513,0,0,0,0,0,0,0.00E+00,0.01,0,0,0
6-Aminouracil,C4H5N3O2,0.1271,0,0,0,0,0,0,0.00E+00,0,0.11,0,0
